year,chm_name,chm_path,variant_id,source_root,relative_parent,mean_f1,mean_auc,mean_precision,mean_recall,mean_accuracy,n_models
2022,436646_2022_madal_cdw_features_lowest_all_last2_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_all/436646_2022_madal_cdw_features_lowest_all_last2_20cm.tif,madal_cdw_features_lowest_all_last2_20cm,lamapuit,cdw_experiments_436646/lowest_all,0.198653295754954,0.9057630244352236,1.0,0.11944444444444444,0.6706493506493507,5
2022,436646_2022_madal_exp_split_rgb_lowest_all_last2_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_all/436646_2022_madal_exp_split_rgb_lowest_all_last2_20cm.tif,madal_exp_split_rgb_lowest_all_last2_20cm,lamapuit,cdw_experiments_436646/lowest_all,0.198653295754954,0.9057630244352236,1.0,0.11944444444444444,0.6706493506493507,5
2020,436646_2020_madal_delta_vs_original_median_all_last2_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/median_all/436646_2020_madal_delta_vs_original_median_all_last2_20cm.tif,madal_delta_vs_original_median_all_last2_20cm,lamapuit,cdw_experiments_436646/median_all,0.1981611184634701,0.875495649693339,0.6482142857142857,0.12195121951219512,0.8108490566037736,5
2022,436646_2022_madal_exp_return_chm13_median_all_all_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/median_all/436646_2022_madal_exp_return_chm13_median_all_all_20cm.tif,madal_exp_return_chm13_median_all_all_20cm,lamapuit,cdw_experiments_436646/median_all,0.19415088174951745,0.8640099124020286,0.9948717948717949,0.11666666666666665,0.6690909090909092,5
2018,436646_2018_madal_exp_intensity_04_13_median_all_last_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/median_all/436646_2018_madal_exp_intensity_04_13_median_all_last_20cm.tif,madal_exp_intensity_04_13_median_all_last_20cm,lamapuit,cdw_experiments_436646/median_all,0.193571622197266,0.8349626400996264,0.26111111111111107,0.16363636363636364,0.9127388535031848,5
2024,436646_2024_madal_exp_density_00_13_median_ground_last_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/median_ground/436646_2024_madal_exp_density_00_13_median_ground_last_20cm.tif,madal_exp_density_00_13_median_ground_last_20cm,lamapuit,cdw_experiments_436646/median_ground,0.18759305210918115,0.9158145875937287,0.27692307692307694,0.14444444444444443,0.9060773480662985,5
2018,436646_2018_madal_exp_density_00_13_median_ground_all_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646_refactor_smoketest/median_ground/436646_2018_madal_exp_density_00_13_median_ground_all_20cm.tif,madal_exp_density_00_13_median_ground_all_20cm,lamapuit,cdw_experiments_436646_refactor_smoketest/median_ground,0.18285714285714286,0.770703611457036,0.22108262108262106,0.16363636363636364,0.9273885350318471,5
2020,436646_2020_madal_exp_density_00_13_median_ground_all_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/median_ground/436646_2020_madal_exp_density_00_13_median_ground_all_20cm.tif,madal_exp_density_00_13_median_ground_all_20cm,lamapuit,cdw_experiments_436646/median_ground,0.17624879592679238,0.7352802738553701,0.24612068965517242,0.16097560975609754,0.8023584905660378,5
2020,436646_2020_madal_exp_density_00_13_median_ground_last2_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/median_ground/436646_2020_madal_exp_density_00_13_median_ground_last2_20cm.tif,madal_exp_density_00_13_median_ground_last2_20cm,lamapuit,cdw_experiments_436646/median_ground,0.17624879592679238,0.7353016688061618,0.24612068965517242,0.16097560975609754,0.8023584905660378,5
2022,436646_2022_madal_chm_max_hag_20cm.tif,/workspace/data/lamapuit/chm_max_hag_13/436646_2022_madal_chm_max_hag_20cm.tif,madal_chm_max_hag_20cm,lamapuit,chm_max_hag_13,0.17354094132976344,0.9605002305209774,1.0,0.12916666666666665,0.6742857142857143,5
2022,436646_2022_madal_fallback_mask_lowest_all_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_all/436646_2022_madal_fallback_mask_lowest_all_20cm.tif,madal_fallback_mask_lowest_all_20cm,lamapuit,cdw_experiments_436646/lowest_all,0.16836489730594825,0.9864107883817427,0.4,0.11388888888888889,0.6685714285714286,5
